NA	sentiment	tweet
4.34315E+17	negative	"@MetroNorth wall to wall people on the platform at South Norwalk waiting for the 8:08. Thanks for the Sat. Sched. Great sense
437605331414573056	neutral	ang sarap mging panganay. Pag ikaw may kylngan wala kang matakbuhan.:D 101 #realtalk #grind #onyourown"
4.37424E+17	negative	"RT @katie_rohaley: School on Monday is just gonna be a great time
436835928733388800	negative	Thanks manager for putting me on the schedule for Sunday"
4.35671E+17	negative	"Who needs sleep? It's not like I have a test tomorrow or anything...
426860451176402944	positive	1st opening shift in quite a while... This should be interesting."
4.36699E+17	neutral	"@rob_yost -Hashtags can express humor, excitement- ex: ""Just found out my mom is my teacher. #awkward"" or ""It's Monday! #excited ""
430770577838968832	negative	it's supposed to snow from midnight tonight until 6pm tomorrow? oh well that's friggin awesome"
4.28714E+17	positive	"Grades come out tomorrow #soexcited
432245861041463296	negative	Spending my Saturday getting my car serviced is definitely the most enjoyable thing I could do with my time."
4.29989E+17	positive	"It's Super Bowl Sunday, pastors. Get your Jesus Jukes ready! Guilt is an awesome motivator! 
435396355679596544	negative	Hot Mess Monday! I'm feeling it! #runninglate #crazyday #blah #happymonday #lovemylife http://t.co/9gZzMtrkfp"
4.30079E+17	negative	"More snow tomorrow... fantastic. #ihatesnow
437042450797191169	positive	Friday night Turnup!! Essay due at midnight, let's get it. "
4.29014E+17	negative	"Oh, gutted...Just seen the transfer window is closing tomorrow. Now what am I going to do for excitement? """
4.30242E+17	negative	"@lisa_keeno nah wasn hi. Cud do with him da day tho.lol. ah full of full of da best of banter u. . This monday is a long day.
427922628993900544	neutral	#Snowpocalypse update: Every city in between Montgomery and the Florida panhandle is shutdown until thurs #winterweather"
4.36956E+17	positive	"Such a banging friday night!! Writing my MUN resolution is just sooooo ideal!! #killme #lituania #musicmakesallbeta
429573944417746944	positive	@Jonnysaint29 wow your the 1st person to mention that today ha"
4.37956E+17	positive	"Happy Monday #patiovortex #myaznow #instagramaz @ looking at the San Tans http://t.co/5omeDoUjEw
429349183829868545	positive	Looking forward to watching tomorrow now #joke #DeadlineDay"
4.35261E+17	positive	"Thanks to that Oklahoma sun I have the sexiest tan lines alive #don'tjudge
430119001369214976	positive	Queen Latifaa and Kurt Russell wow this may be the best Super Bowl ever #SB48"
4.30685E+17	negative	"I may or may not be getting sick...perfect. #idontwantit"""
4.28008E+17	negative	"@nbamark I miss the -30 January days
426805250326929408	positive	@Ken_Rosenthal mistakes? C'mon Kenny!! ;)"
4.31283E+17	positive	"I get to go see my endo tomorrow. Let just say I'm excited about that. Can you sense the ?
427670099177119744	negative	now that I can finally sleep.... can't wait to work for another like... 8 hours or so tomorrow.. and a doctor appt... yay...."
4.37286E+17	neutral	"@ellymarie3 @dhb7 @CommonCrud @dcepa @KentSailor @BeanfromPa @SpEdChat @OlgaKaplan *Why wait till 11th grade?Rigor waits 4 no1!3rd?"""
4.25016E+17	neutral	"John Fox kicking the field goal on 4th and 1 #shocked
424986905432702976	negative	@paugasol @Jmeeks20 @KButter5 You guys haven't learned anything about 3rd quarters. Keep it up!"
4.28755E+17	positive	"my birthday is an hour away &amp; i'm crying. lol great. tomorrow should be great.
435439823629713409	neutral	#day #God #known #Sunday #week Question and Answer http://t.co/tz18q9Brvy #prayer #church"
4.26653E+17	positive	"Friday night footy with the mozzie's. So much fun!! http://t.co/WmPqsHeSaI"""
4.33851E+17	positive	"Nice to know my friends care and are genuinely concerned that I was admitted in the hospital and probably having surgery tomorrow
437774051051048960	positive	Breaking news: AHS Varsity Singers has moved from 26th to 25th nationally! Way to go Auburn! #startedfromthebottumnowwe'rehere"
4.35322E+17	neutral	"@angie_m24 go to sleep you have school tomorrow"""
4.34913E+17	negative	"Such a fun Saturday catching up on hw..
436681191681302528	negative	Spring pictures tomorrow = drama drama drama.... Can't wait til morning."
4.32366E+17	positive	"RT @likewoahitsash: Exciting Saturday night was exciting...
427868014856265728	negative	just saw a report where forecasters are showing snow for @Nash076's neck of the woods on Wed. Oh boy!!!"
4.35271E+17	neutral	"If this year is anything like last year, KI's All-Star Weekend successes will launch him into a fabulous 2nd half #not """
4.33032E+17	positive	"New set this Wednesday. 1st set - originals &amp; 90's country 2nd set - ""bro country"" 3rd set - Eric Church's greatest hits #kinda
427660539158724608	positive	I'm super hyped to read all the opinion pieces and blog posts about the Grammys tomorrow. #GRAMMYs"
4.35607E+17	neutral	"Leg day tomorrow &gt;&gt;&gt;&gt;&gt;&gt;
426752783094534144	negative	I only have one of the most important tests of my career Monday. Of course I can do your shit instead of mine! at its finest"
4.38665E+17	negative	"@_christyna_ @ManUtd The next time they show up for a match is on the 1st. Whether they'll f***ing PLAY I don't know
438616417408004096	negative	Not stoked at all for youth group tomorrow"
4.33825E+17	positive	"Ima look real manly Friday at the video store. Oh maaaaaaaan
428336841037602816	negative	And the boss just posted the schedule, and I work this saturday. Yay OT. "
4.34182E+17	negative	"RT @ebenson12: I can't wait to read all the tweets from all of the girls bitching about being single tomorrow! #myfavorite
426895856793833472	negative	Having so much doing linear algebra this Friday night #not #bored #yawn #math #mathhomework #linearlagebra"
4.25369E+17	positive	"!!!!!!!! RT @FaithGroves744: It's definitely going to be a good week when the Broncos make it to the Super Bowl..... #barf #monday"""
4.30889E+17	negative	"Closed tomorrow...I don't think anyone saw that coming
425272372158283776	negative	You've got to love an email that starts with """"A significant snowstorm is likely, Tuesday..."""" #ugh #winter "
