NA	sentiment	tweet
6.38061E+17	neutral	05 Beat it - Michael Jackson - Thriller (25th Anniversary Edition) [HD] http://t.co/A4K2B86PBv
6.38061E+17	positive	Jay Z joins Instagram with nostalgic tribute to Michael Jackson: Jay Z apparently joined Instagram on Saturday and.. http://t.co/Qj9I4eCvXy
6.38084E+17	neutral	Michael Jackson: Bad 25th Anniversary Edition (Picture Vinyl): This unique picture disc vinyl includes the original 1 http://t.co/fKXhToAAuW
6.38091E+17	positive	"I liked a @YouTube video http://t.co/AaR3pjp2PI One Direction singing ""Man in the Mirror"" by Michael Jackson in Atlanta, GA [June 26,"
6.38126E+17	positive	18th anniv of Princess Diana's death. I still want to believe she is living on a private island away from the public. With Michael Jackson.
6.38131E+17	positive	"@oridaganjazz The 1st time I heard Michael Jackson sing was in Honolulu, Hawaii @ a restaurant on radio. It was A.B.C. I was 13. I loved it!"
6.38135E+17	neutral	'Michael Jackson' appeared on Saturday 29 at the 9th place in the Top20 of Miami's Trends: http://t.co/dXN2FWgUhb #trndnl
6.38157E+17	positive	Are you old enough to remember Michael Jackson attending the Grammys with Brooke Shields and Webster sat on his lap during the show?
6.38162E+17	negative	@etbowser do u enjoy his 2nd rate Michael Jackson bit? Honest ques. Like the can't feel face song but god it's so obvious they want MJ 2.0
6.38163E+17	neutral	The Weeknd is the closest thing we may get to Michael Jackson for a long time...especially since he damn near mimics everything
6.38167E+17	neutral	"All of you people who're saying The Weekend is the next Michael Jackson, Go to sleep, you got school tomorrow."
6.38181E+17	negative	Here I am saying Kanye isn't a bad guy when these people just gave you a fucking award that Michael Jackson got c'mon bro
6.38181E+17	positive	@MariahCarey may he R.I.P. Happy Birthday Michael Jackson . :)
6.38181E+17	negative	may i just say the mtv awards is shit w/o Michael Jackson
6.38186E+17	neutral	I just may be actually done with this award show.. Unless they get Michael Jackson on hologram.
6.38201E+17	negative	@NICKIMINAJ today you try to destroy a Sir Mix-a-Lot hit - tomorrow Michael Jackson? WRITE YOUR OWN DAMN HOOKS!
6.38201E+17	positive	VIRGO OF THE DAY- We wished our fellow Virgo Captain Michael Jackson a Happy Birthday on the 29th now it's time... http://t.co/fF7I7D7ItV
6.38209E+17	neutral	@juliaanapp you may say oh it is August 29 Liam from One Direction's birthday but no it's also Michael Jackson birthday
6.38218E+17	positive	"Michael Jackson was the man, I remember watching the Thriller &amp; Smooth Criminal music video for the 1st time &amp; it was lit"
6.38249E+17	positive	ALDUB RADIO MaAlden Monday NP: I Just Can't Stop Loving You by Michael Jackson! This with Spanish and French versions! #ALDUBTheREVELATION
6.38299E+17	neutral	#NP Michael Jackson - Human Nature on #BrunchInTheCiti w/ @OsKwame  #tunein  5th of 7 tracks from the Thriller album http://t.co/pDIlytllfb
6.38326E+17	positive	"HAPPY 28th BIRTHDAY, BAD !!!!!   ""Well they say the sky's the limit And to me that's really true""- Michael Jackson http://t.co/07XeTiDMHj"
6.38334E+17	positive	Happy 28th anniversary to the album that generated 5 #1's just like katy's teenage dream a.k.a. Bad (Michael Jackson)
6.38343E+17	positive	"Today is the 28th Anniversary of Michael Jackson releasing the ""Bad"" album, what's your favorite song from it?"
6.38363E+17	positive	Remember when Michael Jackson beat everyone at school on command and conquer tiberian sun? A great day
6.38374E+17	positive	The Weeknd may be Michael Jackson reincarnated... I'm just saying there are a lot of similarities musically #butthatsnoneofmybusiness
6.38377E+17	positive	"@OU_Football Eric, I heard your love for Michael Jackson. I got to see him in concert from the 4th row - his sweat hit me when he spun."
6.38424E+17	neutral	@Pearsey you got that from his website. My brothers mate at school once said his 2nd cousin was Michael Jackson. A similar tale to this...
6.38426E+17	neutral	@Pearsey I actually believed that his 2nd cousin was Michael Jackson. Gutted when I found out he wasn't - I was 26 by then...
6.38434E+17	neutral	Very sad news Dr. Wayne Dyer passes away - Ever the Vanguard for Michael Jackson - May God grant him Peace.  https://t.co/bKrxnEou0l
6.38491E+17	positive	#OnThisDay1987 CBS records shipped out the largest pre-order in the company's history for Michael Jackson's album Bad http://t.co/v4fkyOx2eW
6.38502E+17	neutral	Either going as Kurt Cobain with needles all in my arms or Michael Jackson with the local little boys for rock &amp; roll day tomorrow
6.38528E+17	positive	I just texted my friend that I'd be busy all day tomorrow preparing to roast Michael Jackson tomorrow night.   Life is awesome.
6.38577E+17	neutral	"mom: ""I say 23 because your birthday is on the 23rd"" me: no you say it because mj  mom: michael jackson? me: did he play ball too? mom: oh."
6.38594E+17	positive	"Jay Z 'pays tribute to Michael Jackson as he joins Instagram' with touching photo, it may be his last http://t.co/dQHJT59Ciy"
