NA	sentiment	tweet
6.37641E+17	neutral	"@SeeMonterey LOST - Sony cell phone with holiday photos. Early Fri morning, Montreal transit plaza or no. 13 bus to airport. REWARD! Plz RT."
6.37651E+17	neutral	"@PersonaSoda well yeah, that's third parties. Sony itself isn't putting out actual games for it. It's got 1-2 yrs of 3rd party support left."
6.37667E+17	negative	Sony rewards app is like a lot of 19 y.o female singers and a non retro sale. 2nd one with no info
6.37668E+17	neutral	"@fakethom Have android tab and don't use phone much, in fact very little. May go the Sony route then:-)"
6.37708E+17	positive	Finally I get my ps4 back I sent it to Sony cause my HDMI was mess up now I can play MG's Tuesday yeaaaaa buddy
6.37808E+17	negative	"@AskPlayStation Why won't u guys help me out?! Im calling Sony tomorrow! I want help but the ""support team"" 3 hours of tweeting and nothing"
6.37858E+17	neutral	Sony's 1st teaser package for the launch of the original Playstation seems to feature a dominatrix? https://t.co/xbisCRkPL4 #MistressSophia
6.3786E+17	neutral	#tv Ind vs SL 3rd Test Day 3: Cricket live score and Sony Six live streaming info: Watch the live teleca... http://t.co/mUlHw4cN00 #Sony
6.37924E+17	neutral	"@TruthInsider @bertymufc @gamerxone720 @PNF4LYFE @Yanks2013 @VirtuaMe Lol it's all about Sony Sony Sony, if Sony gave Bj's u be the 1st"
6.38045E+17	neutral	"@greencapt Official reason, because the game has to be on our region store and sony wont have it up til tuesday"
6.38142E+17	positive	"the only thing crazier than last-gen was 6th-gen. a 4-way console race between Sega, Nintendo, Microsoft &amp; Sony. you'll NEVER see that again"
6.38159E+17	positive	When you remember Sony is trying to make bible study mandatory on Sunday nights @xo_taylorbang http://t.co/CfljDMvMv3
6.38173E+17	neutral	I know it's coming coon but I don't get why it's taken so long for Sony to release a remote for the PS4. All of the 3rd party ones are bad.
6.38175E+17	positive	@InfinityInq Everyone is playing 3.0 and I'm just sitting here playing 2.0 because Sony is making me wait until tomorrow.
6.38198E+17	positive	Albert Shum and I won 3rd in a SONY design competition in early 90's...our design was a phone in which you push... http://t.co/gAKP1hAyYX
6.38219E+17	neutral	At least Sony will probably be selling it for cheap come Black Friday.
6.38271E+17	neutral	@InnoBystander Might keep SONY monthly subs going beyond tomorrow....
6.38393E+17	positive	"@tauriqmoosa Nope. Tomorrow.  Wait... tomorrow's also when Sony breaks out the next bundle of PS+ freebies.  Oh, what a LOVELY day!"
6.38395E+17	neutral	"Uncharted 4: A Thief's End launches for PS4 in North America on March 18, 2016, Sony announced today.The latest game in the Naughty D..."
6.384E+17	negative	@kewldoode72 Will be interesting to see if  Sony addresses the heat issues in the Z5 - it may have found a work around
6.38454E+17	positive	@pizzalordess is official. Coming back to the Sony family with Destiny in hand Sept 15th.
6.38481E+17	neutral	"@Adam_OliverYT Hi Adam, you may need to contact Playstation support or Sony for details regarding this aspect of your purchase. ^TO"
6.38575E+17	positive	Oh my gosh actual acknowledgement from Sony the Vita exists. https://t.co/3QEfWcBRu0
6.38627E+17	positive	"Mashable : Sony's electronics division may be in a slump, but it doesn't plan on fading quietly into the night. To spur innovation at..."
6.3864E+17	neutral	#tech Sony's new smartwatch packs all its tech in the wristband: Sony's electronics division may be in a slump... http://t.co/moVzepIzww
6.38776E+17	negative	"@bollybrit @itsnacool both of webb ones made less money than the 3rd Raimi one, plus the success of Marvel had Sony scared i think"
6.38784E+17	negative	And in comes Sony with the letdown. Only one color. Clap it up... low and slow https://t.co/6jaRCgfvTP
6.38797E+17	neutral	@x2twisted It's the disc tray reader that's all I know. My warranty is up so it would be 140 to get fixed by Sony so may do it myself
6.38814E+17	positive	"@Guillin @jayesh Personally, I'm looking forward to Sony's presser tomorrow about the new Xperia :p"
6.38822E+17	positive	"DEAL ALERT: Here's a 3rd-party battery w/great reviews @Amazon, compatible with Sony CineAlta &amp; Blackmagic URSA cams: http://t.co/amWKaJuQcl"
6.38823E+17	neutral	Aqua blue PS Vita debuts in November - Sony is introducing an aqua blue PlayStation Vita and will begin selling it... http://t.co/g1UvIc1q4u
6.38891E+17	neutral	Sony may release first smartphone with 4K screen - The Star Online http://t.co/cEdCUgEuWs #News
6.38902E+17	neutral	"Do I know anyone in LA with a Red, Sony C300 or Sony fs7 that I could rent or borrow tomorrow night (9/2) for a few hours?"
6.39075E+17	neutral	@vsamuel323 For any information on this we ask that you contact Sony directly. Apologies for the inconvenience this may cause. ^AI
6.39088E+17	neutral	Rich Guys Can't Make Other Rich Guys Look Bad: It's the 1st Law Of Rich Guys or something.In the end even Sony... http://t.co/yNVaGavh1a
6.39093E+17	positive	Sony may just have made my new phone. That's a brilliant line up that nails practically everything. Let's see what the reviews say.
6.39094E+17	negative	Exactly why I'll never buy Sony. Those 1st class ass kissers are dick pulling the media for high scores on future games. LOL. @tomwarren
6.39121E+17	neutral	Sony may have cut scenes from #WillSmith's film #Concussion to avoid angering the NFL! http://t.co/nSUCckKwhK http://t.co/DMQTRDbSbX
6.39162E+17	positive	@ShinyLinooneBMG @StarlightAurora But they make up for it in amazing 3rd party support. And there are a handful of good 1st party Sony games
6.39192E+17	positive	New phone on Saturday! Torn between Sony z3 or Samsung A5 - which one would you recommend?
6.39235E+17	neutral	Do you see Sony pulling shit like this? No.  https://t.co/n2TMMkngG6
6.39285E+17	neutral	Sony went all out with this new high-tech smartphone. Some may question if anyone needs this phone #J2150BB  https://t.co/rLMlR07ySu
6.39331E+17	neutral	We gonna hold a meetup on September 6th with SONY and other Japanese Giants:  http://t.co/uO9I7z3llW #dldtelaviv2015
6.39608E+17	neutral	Sony's pulling a #TASM2 by beginning pre-production on a Goosebumps sequel even though the 1st one hasn't come out yet. #FuckingStupid
6.39704E+17	neutral	@martymegs @SonyUK @johnlewisretail it's Friday let's see if JL and Sony can resolve the issue. Gut feeling is that they will go silent.
6.39708E+17	neutral	"Sony Xperia Z5, Xperia Z5 Compact Price, Xperia Z5 Premium Detailed: Following the launch announcement on Wednesday, Sony has reveale..."
6.39713E+17	neutral	"@sine_injuria It may be planned obsolescence, but to me, it just means I don't buy stuff from companies like Sony."
6.39768E+17	neutral	Xperia Z5 pre-orders available at the Carphone Warehouse:  Sony may have only announced its ne... http://t.co/OHglq1Lhkx #tech #technews
6.39821E+17	neutral	"#IFA2015: International Fair of Electronic Consumers of Berlin, GER 4-9/Sep. with Samsung, Sony, Sharp, Epson,Toshiba http://t.co/TAHrmg87w5"
6.39868E+17	negative	@The_CrapGamer Sony don't care about their exclusives they never made a theme console for their exclusives https://t.co/ft9VpAxSjs
6.39894E+17	neutral	"Everybody chill, Sony may have a separate global flagship phone in the works Unfortunately, there are http://t.co/TFLn1GFfFx   #techupdates"
6.399E+17	positive	"@GeorgeGegham Marvel is in charge now, no way Sony can get too involved to mess up the 3rd time, plus they have a good director/writers."
6.39948E+17	neutral	"M$: Sony is gobbling up 3rd Party Exclusives  Says the company that tried to steal away Tomb Raider, Deadrising, Rareware, several indies..."
6.39967E+17	neutral	The New York Times reported Tuesday that Sony executives seemingly softened Concussion to placate the NFL
6.40138E+17	neutral	What evidence is there that says North Korea hacked Sony or are we just a propaganda machine for the US Govt? https://t.co/rRpLA3hBW0
6.40156E+17	neutral	"@StevieBenton Dunno about tinder style. Sony had a thing called +U that sat on top of http://t.co/2eHWnmqf7L, I think. Looks dead now though"
6.40171E+17	positive	"Sony announced a new 500 GB PlayStation 4 bundle with Uncharted 4; will be in stored on October 9 for $400 in the US, $450 in Canada."
6.40209E+17	positive	Huge play by #Georgia to get out of the shadow of their own goal line on 2nd down. Lambert to Sony for a 48 yard gain. Very accurate pass
6.40214E+17	positive	@JCPSPORTS I have always loved Sony. Been watching the kid since his 8th grade.
6.40255E+17	neutral	@blakejharrisNYC could hit the 3rd console war with @PS1Documentary as you wrote about some of the characters that went over to Sony's side.
6.40272E+17	positive	"[the Sun daily] Lenovo, Sony and Marshall London on-trend smartphones: SOME smartphone trends come and go but ... http://t.co/PYOmwTuCGj"
6.40291E+17	positive	"#DidYouKnow? ""One"" was once voted the 5th most popular song of all time, in a poll conducted by Sony"
6.40305E+17	positive	"@chaosyoshimage That's why I think it may be some weird last minute deal with sony, Mirrors Edge had a solid 12 or so TV's"
6.40337E+17	neutral	Im going to sony store tomorrow.. may go in debt. i need to get a few things before its really tooooo late
6.40344E+17	neutral	I am having some major problems with Sony so probably no upload tonight I promise 2 tomorrow though. &lt;3 =)
6.40356E+17	positive	"Sony is not anymore first to market with things awesome, but are so good at being 2nd to market but first in value. #aqua"
6.40544E+17	positive	"Sony has their 1st #1 film of the summer, as WAR ROOM fought off COMPTON $9.3M to $8.8M."
6.40548E+17	positive	"Immensely enjoyable TV Song show ""Indian Idol Jr"" comes to a close today.Well done Sony, may the best kid win.All the finalists were tops."
6.40554E+17	positive	Uncharted in March may just be the thing to bring me back to Sony
6.40594E+17	neutral	Should add in October 27 - Read that folder on PC from the Sony leak with all the scripts &amp; production emails with a bottle of wine &amp; candle
6.4064E+17	positive	I do like that Sony formed that 3rd Party production team to assist with localization of games
6.40646E+17	positive	"OK... Sony has announced its playable games line up for the Tokyo Games Show 2015, September 15.   Interestingly... http://t.co/wUNE8AX1Dc"
6.40719E+17	neutral	"Drew at Hitfix says the new Bond song will be released Tuesday. SONY will not tell the performer, but rumors is Radiohead."
6.4072E+17	neutral	"@SakuraLBP sumo made the game. Sony's in-lead. Sony decided the game release date, they chose black friday to get more money."
6.40749E+17	positive	Jk may have found a way to record! #UntilDawn using just the #PS4! Way to go Sony you are winning. Hope it works out
6.4075E+17	positive	"SONY: War Room, the faith-based movie, led the domestic box office over the U.S. Labor Day holiday weekend in its 2nd week in the cinemas"
6.40774E+17	negative	"I got no love for Sony. They can disappear tomorrow,someone else would just replace them and try harder for consumers. @Gaming_forever1"
6.40864E+17	neutral	"Football world cup qualifier 2018  Iran vs India  Watch it live on Sony six September 8 , 7 pm #BleedBlue #letsfootball  Support Indian team"
6.40912E+17	positive	"Sony Pictures Last Monday, Sony Pictures released the first theatrical trailer for Concussion, the studio's... http://t.co/fLV2qOswco"
6.4112E+17	positive	Sony's Project Morpheus Review: A Virtual Reality Headset that May Change the Future of Gaming ... http://t.co/OuJkuP9fKP #oculusrift #vr
6.41146E+17	negative	@strunk_daddy For any info you would need to contact Sony. Apologies for any inconvenience this may have caused ^AI
6.41154E+17	negative	Still waiting for my phone to come back from Sony..bit lost without it. Hopefully back up by Thursday. Last upload was from my PC.
6.41159E+17	positive	Tomorrow Morning it will be USA vs Brazil live on Sony Six HD at 6 AM . #BRAvUSA #USAvBRA
6.41163E+17	positive	#Sony Sony Xperia Z5 Premium news: Sony may have found a solution for the overheating Snapdragon 810: ... http://t.co/W6vF0cGZHL #Xperia
6.41171E+17	positive	@Sriram_sv It is Deepika for Tamasha :) not sony he he he...may be Sony is  one of the brand partners
6.41265E+17	neutral	final vid going up tomorrow most likely. depends on when i can get sony vegas back. just gonna be my 4 fav clips with a simple edit.
6.41293E+17	neutral	"Sam Smith to sing title song for ""Spectre"" the new James Bond film, Sony confirms. Song out 9-25; movie on Nov. 6."
6.41296E+17	positive	It would be poetic if Nintendo became a Sony 2nd Party Developer. It would also make choosing consoles every generation very easy
6.4133E+17	positive	"What if tomorrow Apple is just like, ""the Apple TV is now a game console and we're going to take on Sony and Microsoft (and Nintendo)"" lol."
6.41355E+17	neutral	@SamLittleMix Sony said 1hr 15m unless they got it wrong? Idk i'll double check with them tomorrow
6.41373E+17	positive	Sony's 20th Anniversary sale going on now  http://t.co/o98eV4BdyL
6.41375E+17	positive	@DarneReddick @Gamer1Mack @JCrookedSmile MS is using the strategy that Sony used last gen/spend more on 1st party nd less on marketing deal
6.41388E+17	positive	"PS4 Firmware 3.0 http://t.co/snhEXLgDaH As some of you may know, Sony is releasing the 3.0 update for the PS4 sometime in the near"
6.41405E+17	neutral	Hmmm.  Diablo III Ultimate Evil edition is on sale for Sony's 20th Anniversary.  But don't know anyone playing on PS4 to make it seem worth
6.41518E+17	negative	"PSN is down for some users, not all. No prior warning from Sony either - can you sign in right now? RT. http://t.co/1mi6lwVfAR"
6.41561E+17	positive	Sony and Zeiss showdown! Announcement on Friday 11 is not just about camcorder and Otus!
6.4164E+17	positive	"20 years ago today, Sony released the 1st Playstation in the states. We are feeling pretty old in the van today."
